datetime,episode,steps,return,epsilon
2025-10-28 23:17:43,150,265,97.35,0.047
2025-10-28 23:17:43,151,221,77.79,0.047
2025-10-28 23:17:43,152,357,16.43,0.047
2025-10-28 23:17:43,153,329,86.71,0.046
2025-10-28 23:17:43,154,286,77.14,0.046
2025-10-28 23:17:43,155,310,96.9,0.046
2025-10-28 23:17:43,156,343,96.57,0.046
2025-10-28 23:17:43,157,198,78.02,0.046
2025-10-28 23:17:43,158,104,18.96,0.045
2025-10-28 23:17:43,159,154,48.46,0.045
2025-10-28 23:17:43,160,386,156.14,0.045
2025-10-28 23:17:43,161,386,146.14,0.045
2025-10-28 23:17:43,162,420,115.8,0.044
2025-10-28 23:17:43,163,254,67.46,0.044
2025-10-28 23:17:43,164,216,87.84,0.044
2025-10-28 23:17:43,165,635,203.65,0.044
2025-10-28 23:17:43,166,387,106.13,0.044
2025-10-28 23:17:43,167,575,244.25,0.043
2025-10-28 23:17:43,168,242,97.58,0.043
2025-10-28 23:17:43,169,423,235.77,0.043
2025-10-28 23:17:43,170,401,145.99,0.043
2025-10-28 23:17:43,171,275,117.25,0.042
2025-10-28 23:17:43,172,242,77.58,0.042
2025-10-28 23:17:43,173,167,68.33,0.042
2025-10-28 23:17:43,174,296,167.04,0.042
2025-10-28 23:17:43,175,158,68.42,0.042
2025-10-28 23:17:43,176,75,9.25,0.041
2025-10-28 23:17:43,177,281,67.19,0.041
2025-10-28 23:17:43,178,67,19.33,0.041
2025-10-28 23:17:43,179,103,38.97,0.041
2025-10-28 23:17:43,180,237,87.63,0.041
2025-10-28 23:17:43,181,78,29.22,0.04
2025-10-28 23:17:43,182,244,87.56,0.04
2025-10-28 23:17:43,183,637,153.63,0.04
2025-10-28 23:17:43,184,322,136.78,0.04
2025-10-28 23:17:43,185,510,204.9,0.04
2025-10-28 23:17:43,186,239,97.61,0.039
2025-10-28 23:17:43,187,325,166.75,0.039
2025-10-28 23:17:43,188,288,97.12,0.039
2025-10-28 23:17:43,189,225,107.75,0.039
2025-10-28 23:17:43,190,465,125.35,0.039
2025-10-28 23:17:43,191,294,87.06,0.038
